# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
366080 357.5 0.126528593145537
366592 358 0.126534593671527
367104 358.5 0.126540836839842
367616 359 0.12654731606721
368128 359.5 0.126554025292843
368640 360 0.126560956070963
369152 360.5 0.126568097244207
369664 361 0.126575437911212
370176 361.5 0.126582968867958
370688 362 0.12659068021857
371200 362.5 0.126598559310375
371712 363 0.126606592511257
372224 363.5 0.126614767861069
372736 364 0.126623074300084
373248 364.5 0.126631499002987
373760 365 0.126640027387395
374272 365.5 0.126648645808228
374784 366 0.126657342608881
375296 366.5 0.126666105937555
375808 367 0.126674921769429
376320 367.5 0.126683775129826
376832 368 0.126692652817712
377344 368.5 0.12670154409088
377856 369 0.126710438880599
378368 369.5 0.126719326293858
378880 370 0.126728195238356
379392 370.5 0.126737035806395
379904 371 0.12674583929759
380416 371.5 0.126754597255198
380928 372 0.126763301440384
381440 372.5 0.126771944777388
381952 373 0.126780521443927
382464 373.5 0.126789025866562
382976 374 0.126797452439556
383488 374.5 0.126805796372298
384000 375 0.126814053861672
384512 375.5 0.12682222108697
385024 376 0.12683029385452
385536 376.5 0.126838268535257
386048 377 0.126846142545627
386560 377.5 0.12685391364694
387072 378 0.126861579644125
387584 378.5 0.126869139140822
388096 379 0.126876591901963
388608 379.5 0.126883938285777
389120 380 0.126891179013944
389632 380.5 0.126898315538685
390144 381 0.126905349908258
390656 381.5 0.126912284456287
391168 382 0.126919122561812
391680 382.5 0.126925869411452
392192 383 0.126932530752311
392704 383.5 0.126939111079338
393216 384 0.126945614504573
393728 384.5 0.126952047393153
394240 385 0.126958418508688
394752 385.5 0.126964736165085
395264 386 0.126971006618356
395776 386.5 0.126977235728469
396288 387 0.126983430886889
396800 387.5 0.12698960055392
397312 388 0.126995752717595
397824 388.5 0.127001894484647
398336 389 0.12700803254873
398848 389.5 0.127014173340853
399360 390 0.1270203229227
399872 390.5 0.12702648707473
400384 391 0.127032671305379
400896 391.5 0.127038880548197
401408 392 0.127045118916316
401920 392.5 0.127051389760172
402432 393 0.12705769582276
402944 393.5 0.12706403935654
403456 394 0.127070422215709
403968 394.5 0.127076845756109
404480 395 0.127083310391626
404992 395.5 0.127089815021417
405504 396 0.127096356795542
406016 396.5 0.127102931701628
406528 397 0.127109535915258
407040 397.5 0.127116166495491
407552 398 0.127122819805174
408064 398.5 0.127129489006405
408576 399 0.12713616442022
409088 399.5 0.127142837022493
409600 400 0.127149500035335
